# filmdec totalHits=807855 recordsEcrits=807855
eid,typeIndex,compIndex,param4,bitCursor,skipCount
1073742394,35,35,1,587,0
1073742395,35,0,1,629,0
1073742395,35,25,1,676,0
1073742396,35,0,1,731,0
1073742396,35,1,1,778,0
1073742396,35,21,1,809,0
1073742396,35,25,1,834,0
1232,41,0,1,883,0
1232,41,1,1,928,0
1232,41,2,1,958,0
1233,41,0,1,1025,0
1233,41,1,1,1070,0
1233,41,2,1,1100,0
1073744026,42,0,1,1173,0
1073744026,42,1,1,1218,0
1073744026,42,2,1,1248,0
1073744026,42,3,1,1276,0
1073744032,42,0,1,1349,0
1073744032,42,1,1,1394,0
1073744032,42,2,1,1424,0
1073744032,42,3,1,1452,0
1073744033,42,0,1,1525,0
1073744033,42,1,1,1570,0
1073744033,42,2,1,1600,0
1073744033,42,3,1,1628,0
1073744034,37,1,1,1689,0
1073744034,37,3,1,1690,0
1073742394,35,0,1,445,0
1073742394,35,1,1,492,0
1073742394,35,5,1,523,0
1073742394,35,21,1,552,0
1073742394,35,25,1,577,0
1073742394,35,35,1,587,0
1073741947,4,0,0,29,0
1073742378,35,0,1,82,0
1073742378,35,1,1,129,0
1073742378,35,21,1,160,0
1073742378,35,25,1,185,0
1073742393,35,0,1,246,0
1073742393,35,1,1,293,0
1073742393,35,5,1,324,0
1073742393,35,21,1,353,0
1073742393,35,25,1,378,0
1073742394,35,0,1,439,0
1073742394,35,5,1,486,0
1073742394,35,21,1,515,0
1073742394,35,25,1,540,0
1073742394,35,35,1,550,0
1073742395,35,21,1,592,0
1073742395,35,25,1,617,0
1073742396,35,0,1,672,0
1073742396,35,1,1,719,0
1073742396,35,21,1,750,0
1073742396,35,25,1,775,0
1232,41,0,1,824,0
1232,41,1,1,869,0
1232,41,2,1,899,0
1233,41,0,1,972,0
1233,41,1,1,1017,0
1233,41,2,1,1047,0
1233,41,3,1,1075,0
1073744026,42,0,1,1148,0
1073744026,42,1,1,1193,0
1073744026,42,2,1,1223,0
1073744026,42,3,1,1251,0
1073744032,42,0,1,1324,0
1073744032,42,1,1,1369,0
1073744032,42,2,1,1399,0
1073744032,42,3,1,1427,0
1073744033,42,0,1,1500,0
1073744033,42,1,1,1545,0
1073744033,42,2,1,1575,0
1073744033,42,3,1,1603,0
1073744034,37,3,1,1658,0
1073742394,35,0,1,439,0
1073742394,35,5,1,486,0
1073742394,35,21,1,515,0
1073742394,35,25,1,540,0
1073742394,35,35,1,550,0
1073741947,4,0,0,29,0
1073742378,35,0,1,76,0
1073742378,35,1,1,123,0
1073742378,35,25,1,154,0
1073742393,35,0,1,215,0
1073742393,35,1,1,262,0
1073742393,35,5,1,293,0
1073742393,35,21,1,322,0
1073742393,35,25,1,347,0
1073742394,35,0,1,414,0
1073742394,35,1,1,461,0
1073742394,35,5,1,492,0
1073742394,35,21,1,521,0
1073742394,35,25,1,546,0
1073742394,35,35,1,556,0
1073742395,35,21,1,598,0
1073742395,35,25,1,623,0
1073742396,35,0,1,678,0
1073742396,35,1,1,725,0
1073742396,35,21,1,756,0
1073742396,35,25,1,781,0
1232,41,0,1,830,0
1232,41,1,1,875,0
1232,41,2,1,905,0
1233,41,0,1,978,0
1233,41,1,1,1023,0
1233,41,2,1,1053,0
1233,41,3,1,1081,0
1073744026,42,0,1,1154,0
1073744026,42,1,1,1199,0
1073744026,42,2,1,1229,0
1073744026,42,3,1,1257,0
1073744032,42,0,1,1330,0
1073744032,42,1,1,1375,0
1073744032,42,2,1,1405,0
1073744032,42,3,1,1433,0
1073744033,42,0,1,1506,0
1073744033,42,1,1,1551,0
1073744033,42,2,1,1581,0
1073744033,42,3,1,1609,0
1073744034,37,3,1,1664,0
1073742394,35,0,1,414,0
1073742394,35,1,1,461,0
1073742394,35,5,1,492,0
1073742394,35,21,1,521,0
1073742394,35,25,1,546,0
1073742394,35,35,1,556,0
1073741947,4,0,0,189,0
1073742378,35,0,1,236,0
1073742378,35,1,1,283,0
1073742378,35,25,1,314,0
1073742393,35,0,1,375,0
1073742393,35,1,1,422,0
1073742393,35,5,1,453,0
1073742393,35,21,1,482,0
1073742393,35,25,1,507,0
1073742394,35,0,1,574,0
1073742394,35,1,1,621,0
1073742394,35,5,1,652,0
1073742394,35,21,1,681,0
1073742394,35,25,1,706,0
1073742394,35,35,1,716,0
1073742395,35,0,1,770,0
1073742395,35,1,1,817,0
1073742395,35,21,1,848,0
1073742395,35,25,1,873,0
1073742396,35,0,1,928,0
1073742396,35,1,1,975,0
1073742396,35,21,1,1006,0
1073742396,35,25,1,1031,0
1232,41,0,1,1080,0
1232,41,1,1,1125,0
1232,41,2,1,1155,0
1233,41,0,1,1228,0
1233,41,1,1,1273,0
1233,41,2,1,1303,0
1233,41,3,1,1331,0
1260,41,1,1,1398,0
1260,41,10,3,1399,0
1260,41,18,1,1514,0
1073744026,42,0,1,1580,0
1073744026,42,1,1,1625,0
1073744026,42,2,1,1655,0
1073744026,42,3,1,1683,0
1073744032,42,0,1,1756,0
1073744032,42,1,1,1801,0
1073744032,42,2,1,1831,0
1073744032,42,3,1,1859,0
1073744033,42,0,1,1932,0
1073744033,42,1,1,1977,0
1073744033,42,2,1,2007,0
1073744033,42,3,1,2035,0
1073742394,35,0,1,574,0
1073742394,35,1,1,621,0
1073742394,35,5,1,652,0
1073742394,35,21,1,681,0
1073742394,35,25,1,706,0
1073742394,35,35,1,716,0
1073741947,4,0,0,29,0
1073742378,35,0,1,76,0
1073742378,35,1,1,123,0
1073742378,35,25,1,154,0
1073742393,35,0,1,209,0
1073742393,35,1,1,256,0
1073742393,35,5,1,287,0
1073742393,35,25,1,316,0
1073742394,35,0,1,377,0
1073742394,35,5,1,424,0
1073742394,35,21,1,453,0
1073742394,35,25,1,478,0
1073742394,35,35,1,488,0
1073742395,35,0,1,542,0
1073742395,35,1,1,589,0
1073742395,35,21,1,620,0
1073742395,35,25,1,645,0
1073742396,35,0,1,700,0
1073742396,35,1,1,747,0
1073742396,35,21,1,778,0
1073742396,35,25,1,803,0
1232,41,0,1,852,0
1232,41,1,1,897,0
1232,41,2,1,927,0
1233,41,0,1,1006,0
1233,41,1,1,1051,0
1233,41,2,1,1081,0
1233,41,3,1,1109,0
1233,41,20,0,1137,0
1073744026,42,0,1,1191,0
1073744026,42,1,1,1236,0
1073744026,42,2,1,1266,0
1073744026,42,3,1,1294,0
1073744032,42,0,1,1367,0
1073744032,42,1,1,1412,0
1073744032,42,2,1,1442,0
1073744032,42,3,1,1470,0
1073744033,42,0,1,1543,0
1073744033,42,1,1,1588,0
1073744033,42,2,1,1618,0
1073744033,42,3,1,1646,0
1073742394,35,0,1,377,0
1073742394,35,5,1,424,0
1073742394,35,21,1,453,0
1073742394,35,25,1,478,0
1073742394,35,35,1,488,0
1073741947,4,0,0,29,0
1073742378,35,0,1,76,0
1073742378,35,1,1,123,0
1073742378,35,25,1,125,0
1073742393,35,0,1,186,0
1073742393,35,1,1,233,0
1073742393,35,5,1,264,0
1073742393,35,21,1,293,0
1073742393,35,25,1,318,0
1073742394,35,0,1,373,0
1073742394,35,5,1,420,0
1073742394,35,25,1,449,0
1073742394,35,35,1,459,0
1073742395,35,0,1,513,0
1073742395,35,1,1,560,0
1073742395,35,21,1,591,0
1073742395,35,25,1,616,0
1073742396,35,0,1,671,0
1073742396,35,1,1,718,0
1073742396,35,21,1,749,0
1073742396,35,25,1,774,0
1232,41,1,1,817,0
1232,41,2,1,847,0
1233,41,0,1,926,0
1233,41,1,1,971,0
1233,41,2,1,1001,0
1233,41,3,1,1029,0
1233,41,20,0,1057,0
1073744026,42,0,1,1111,0
1073744026,42,1,1,1156,0
1073744026,42,2,1,1186,0
1073744026,42,3,1,1214,0
1073744032,42,0,1,1287,0
1073744032,42,1,1,1332,0
1073744032,42,2,1,1362,0
1073744032,42,3,1,1390,0
1073744033,42,0,1,1463,0
1073744033,42,1,1,1508,0
1073744033,42,2,1,1538,0
1073744033,42,3,1,1566,0
1073742394,35,0,1,373,0
1073742394,35,5,1,420,0
1073742394,35,25,1,449,0
1073742394,35,35,1,459,0
1073741947,4,0,0,144,0
1073742378,35,0,1,191,0
1073742378,35,1,1,238,0
1073742378,35,25,1,240,0
1073742393,35,0,1,295,0
1073742393,35,1,1,342,0
1073742393,35,5,1,373,0
1073742393,35,25,1,402,0
1073742394,35,0,1,469,0
1073742394,35,1,1,516,0
1073742394,35,5,1,547,0
1073742394,35,21,1,576,0
1073742394,35,25,1,601,0
1073742394,35,35,1,611,0
1073742395,35,0,1,665,0
1073742395,35,1,1,712,0
1073742395,35,21,1,743,0
1073742395,35,25,1,768,0
1073742396,35,0,1,823,0
1073742396,35,1,1,870,0
1073742396,35,21,1,901,0
1073742396,35,25,1,926,0
1232,41,0,1,975,0
1232,41,1,1,1020,0
1232,41,2,1,1050,0
1233,41,0,1,1129,0
1233,41,1,1,1174,0
1233,41,2,1,1204,0
1233,41,3,1,1232,0
1233,41,20,0,1260,0
1073744026,42,0,1,1314,0
1073744026,42,1,1,1359,0
1073744026,42,2,1,1389,0
1073744026,42,3,1,1417,0
1073744032,42,0,1,1490,0
1073744032,42,1,1,1535,0
1073744032,42,2,1,1565,0
1073744032,42,3,1,1593,0
1073744033,42,0,1,1666,0
1073744033,42,1,1,1711,0
1073744033,42,2,1,1741,0
1073744033,42,3,1,1769,0
1073742394,35,0,1,469,0
1073742394,35,1,1,516,0
1073742394,35,5,1,547,0
1073742394,35,21,1,576,0
1073742394,35,25,1,601,0
1073742394,35,35,1,611,0
1261,41,0,1,198,0
1261,41,2,1,243,0
1261,41,13,3,271,0
1261,41,14,1,279,0
1261,41,15,2,283,0
1261,41,20,0,329,0
1262,41,0,1,518,0
1262,41,1,1,563,0
1262,41,2,1,593,0
1262,41,14,1,621,0
1262,41,15,2,625,0
1262,41,20,0,671,0
1073741947,4,0,0,707,0
1073742378,35,0,1,748,0
1073742378,35,25,1,795,0
1073742393,35,0,1,850,0
1073742393,35,1,1,897,0
1073742393,35,5,1,928,0
1073742393,35,25,1,957,0
1073742394,35,0,1,1018,0
1073742394,35,1,1,1065,0
1073742394,35,5,1,1096,0
1073742394,35,25,1,1125,0
1073742394,35,35,1,1135,0
1073742395,35,0,1,1189,0
1073742395,35,1,1,1236,0
1073742395,35,21,1,1267,0
1073742395,35,25,1,1292,0
1073742396,35,0,1,1347,0
1073742396,35,1,1,1394,0
1073742396,35,21,1,1425,0
1073742396,35,25,1,1450,0
1232,41,0,1,1499,0
1232,41,1,1,1544,0
1232,41,2,1,1574,0
1233,41,0,1,1653,0
1233,41,1,1,1698,0
1233,41,2,1,1728,0
1233,41,3,1,1756,0
1233,41,20,0,1784,0
1073744026,42,0,1,1838,0
1073744026,42,1,1,1883,0
1073744026,42,2,1,1913,0
1073744026,42,3,1,1941,0
1073744032,42,0,1,2014,0
1073744032,42,1,1,2059,0
1073744032,42,2,1,2089,0
1073744032,42,3,1,2117,0
1073744033,42,0,1,2190,0
1073744033,42,1,1,2235,0
1073744033,42,2,1,2265,0
1073744033,42,3,1,2293,0
1073742394,35,0,1,1018,0
1073742394,35,1,1,1065,0
1073742394,35,5,1,1096,0
1073742394,35,25,1,1125,0
1073742394,35,35,1,1135,0
1073741947,4,0,0,29,0
1073742378,35,0,1,70,0
1073742378,35,25,1,117,0
1073742393,35,0,1,172,0
1073742393,35,1,1,219,0
1073742393,35,5,1,250,0
1073742393,35,25,1,279,0
1073742394,35,0,1,340,0
1073742394,35,1,1,387,0
1073742394,35,5,1,418,0
1073742394,35,25,1,447,0
1073742394,35,35,1,457,0
1073742395,35,0,1,511,0
1073742395,35,1,1,558,0
1073742395,35,21,1,589,0
1073742395,35,25,1,614,0
1073742396,35,0,1,669,0
1073742396,35,1,1,716,0
1073742396,35,21,1,747,0
1073742396,35,25,1,772,0
1232,41,0,1,821,0
1232,41,1,1,866,0
1232,41,2,1,896,0
1233,41,0,1,975,0
1233,41,1,1,1020,0
1233,41,2,1,1050,0
1233,41,3,1,1078,0
1233,41,20,0,1106,0
1261,41,5,1,1142,0
1073744026,42,0,1,1216,0
1073744026,42,1,1,1261,0
1073744026,42,2,1,1291,0
1073744026,42,3,1,1319,0
1073744032,42,0,1,1392,0
1073744032,42,1,1,1437,0
1073744032,42,2,1,1467,0
1073744032,42,3,1,1495,0
1073744033,42,0,1,1568,0
1073744033,42,1,1,1613,0
1073744033,42,2,1,1643,0
1073744033,42,3,1,1671,0
1073742394,35,0,1,340,0
1073742394,35,1,1,387,0
1073742394,35,5,1,418,0
1073742394,35,25,1,447,0
1073742394,35,35,1,457,0
1073741947,4,0,0,29,0
1073742378,35,0,1,70,0
1073742378,35,25,1,117,0
1073742393,35,0,1,172,0
1073742393,35,1,1,219,0
1073742393,35,5,1,250,0
1073742393,35,25,1,279,0
1073742394,35,0,1,340,0
1073742394,35,1,1,387,0
1073742394,35,5,1,418,0
1073742394,35,25,1,447,0
1073742394,35,35,1,457,0
1073742395,35,0,1,511,0
1073742395,35,1,1,558,0
1073742395,35,21,1,589,0
1073742395,35,25,1,614,0
1073742396,35,0,1,669,0
1073742396,35,1,1,716,0
1073742396,35,21,1,747,0
1073742396,35,25,1,772,0
1232,41,0,1,821,0
1232,41,1,1,866,0
1232,41,2,1,896,0
1233,41,0,1,975,0
1233,41,1,1,1020,0
1233,41,2,1,1050,0
1233,41,3,1,1078,0
1233,41,20,0,1106,0
1073744026,42,0,1,1160,0
1073744026,42,1,1,1205,0
1073744026,42,2,1,1235,0
1073744026,42,3,1,1263,0
1073744032,42,0,1,1336,0
1073744032,42,1,1,1381,0
1073744032,42,2,1,1411,0
1073744032,42,3,1,1439,0
1073744033,42,0,1,1512,0
1073744033,42,1,1,1557,0
1073744033,42,2,1,1587,0
1073744033,42,3,1,1615,0
1073742394,35,0,1,340,0
1073742394,35,1,1,387,0
1073742394,35,5,1,418,0
1073742394,35,25,1,447,0
1073742394,35,35,1,457,0
1073741947,4,0,0,293,0
1073742378,35,0,1,334,0
1073742378,35,25,1,381,0
1073742393,35,0,1,442,0
1073742393,35,1,1,489,0
1073742393,35,5,1,520,0
1073742393,35,21,1,549,0
1073742393,35,25,1,574,0
1073742394,35,0,1,641,0
1073742394,35,1,1,688,0
1073742394,35,5,1,719,0
1073742394,35,21,1,748,0
1073742394,35,25,1,773,0
1073742394,35,35,1,783,0
1073742395,35,0,1,837,0
1073742395,35,1,1,884,0
1073742395,35,21,1,915,0
1073742395,35,25,1,940,0
1073742396,35,0,1,989,0
1073742396,35,1,1,1036,0
1073742396,35,25,1,1067,0
1232,41,0,1,1116,0
1232,41,1,1,1161,0
1232,41,2,1,1191,0
1233,41,0,1,1270,0
1233,41,1,1,1315,0
1233,41,2,1,1345,0
1233,41,3,1,1373,0
1233,41,20,0,1401,0
1073744026,42,0,1,1455,0
1073744026,42,1,1,1500,0
1073744026,42,2,1,1530,0
1073744026,42,3,1,1558,0
1073744032,42,0,1,1631,0
1073744032,42,1,1,1676,0
1073744032,42,2,1,1706,0
1073744032,42,3,1,1734,0
1073744033,42,0,1,1807,0
1073744033,42,1,1,1852,0
1073744033,42,2,1,1882,0
1073744033,42,3,1,1910,0
1073742394,35,0,1,641,0
1073742394,35,1,1,688,0
1073742394,35,5,1,719,0
1073742394,35,21,1,748,0
1073742394,35,25,1,773,0
1073742394,35,35,1,783,0
1073741826,2,12,1,29,0
1073741947,4,0,0,93,0
1073741954,21,13,0,128,0
1073742378,35,0,1,169,0
1073742378,35,25,1,216,0
1073742393,35,0,1,277,0
1073742393,35,1,1,324,0
1073742393,35,5,1,355,0
1073742393,35,21,1,384,0
1073742393,35,25,1,409,0
1073742394,35,0,1,470,0
1073742394,35,5,1,517,0
1073742394,35,21,1,546,0
1073742394,35,25,1,571,0
1073742394,35,35,1,581,0
1073742395,35,0,1,629,0
1073742395,35,1,1,676,0
1073742395,35,25,1,707,0
1073742396,35,0,1,750,0
1073742396,35,25,1,797,0
1232,41,1,1,840,0
1232,41,2,1,870,0
1233,41,0,1,943,0
1233,41,1,1,988,0
1233,41,2,1,1018,0
1233,41,3,1,1046,0
1073744026,42,0,1,1119,0
1073744026,42,1,1,1164,0
1073744026,42,2,1,1194,0
1073744026,42,3,1,1222,0
1073744032,42,0,1,1295,0
1073744032,42,1,1,1340,0
1073744032,42,2,1,1370,0
1073744032,42,3,1,1398,0
1073744033,42,0,1,1471,0
1073744033,42,1,1,1516,0
1073744033,42,2,1,1546,0
1073744033,42,3,1,1574,0
1073742394,35,0,1,470,0
1073742394,35,5,1,517,0
1073742394,35,21,1,546,0
1073742394,35,25,1,571,0
1073742394,35,35,1,581,0
1073741947,4,0,0,29,0
1073742378,35,0,1,70,0
1073742378,35,25,1,117,0
1073742393,35,0,1,178,0
1073742393,35,1,1,225,0
1073742393,35,5,1,256,0
1073742393,35,21,1,285,0
1073742393,35,25,1,310,0
1073742394,35,0,1,377,0
1073742394,35,1,1,424,0
1073742394,35,5,1,455,0
1073742394,35,21,1,484,0
1073742394,35,25,1,509,0
1073742394,35,35,1,519,0
1073742395,35,0,1,567,0
1073742395,35,1,1,614,0
1073742395,35,25,1,645,0
1073742396,35,0,1,688,0
1073742396,35,25,1,735,0
1232,41,0,1,784,0
1232,41,1,1,829,0
1232,41,2,1,859,0
1233,41,0,1,932,0
1233,41,1,1,977,0
1233,41,2,1,1007,0
1233,41,3,1,1035,0
1073744026,42,0,1,1108,0
1073744026,42,1,1,1153,0
1073744026,42,2,1,1183,0
1073744026,42,3,1,1211,0
1073744032,42,0,1,1284,0
1073744032,42,1,1,1329,0
1073744032,42,2,1,1359,0
1073744032,42,3,1,1387,0
1073744033,42,0,1,1460,0
1073744033,42,1,1,1505,0
1073744033,42,2,1,1535,0
1073744033,42,3,1,1563,0
1073742394,35,0,1,377,0
1073742394,35,1,1,424,0
1073742394,35,5,1,455,0
1073742394,35,21,1,484,0
1073742394,35,25,1,509,0
1073742394,35,35,1,519,0
1263,41,0,1,397,0
1263,41,1,1,442,0
1263,41,2,1,472,0
1263,41,3,1,500,0
1263,41,13,3,528,0
1263,41,14,1,536,0
1263,41,15,2,540,0
1263,41,20,0,586,0
1073741947,4,0,0,622,0
1073742378,35,0,1,663,0
1073742378,35,25,1,710,0
1073742393,35,0,1,783,0
1073742393,35,1,1,830,0
1073742393,35,5,1,861,0
1073742393,35,21,1,890,0
1073742393,35,22,1,915,0
1073742393,35,25,1,950,0
1073742393,35,47,1,960,0
1073742394,35,0,1,1026,0
1073742394,35,1,1,1073,0
1073742394,35,5,1,1104,0
1073742394,35,21,1,1133,0
1073742394,35,25,1,1158,0
1073742394,35,35,1,1168,0
1073742395,35,0,1,1216,0
1073742395,35,1,1,1263,0
1073742395,35,25,1,1294,0
1073742396,35,0,1,1349,0
1073742396,35,1,1,1396,0
1073742396,35,21,1,1427,0
1073742396,35,25,1,1452,0
1232,41,0,1,1501,0
1232,41,1,1,1546,0
1232,41,2,1,1576,0
1233,41,0,1,1649,0
1233,41,1,1,1694,0
1233,41,2,1,1724,0
1233,41,3,1,1752,0
1073744026,42,0,1,1825,0
1073744026,42,1,1,1870,0
1073744026,42,2,1,1900,0
1073744026,42,3,1,1928,0
1073744032,42,0,1,2001,0
1073744032,42,1,1,2046,0
1073744032,42,2,1,2076,0
1073744032,42,3,1,2104,0
1073744033,42,0,1,2177,0
1073744033,42,1,1,2222,0
1073744033,42,2,1,2252,0
1073744033,42,3,1,2280,0
1073742394,35,0,1,1026,0
1073742394,35,1,1,1073,0
1073742394,35,5,1,1104,0
1073742394,35,21,1,1133,0
1073742394,35,25,1,1158,0
1073742394,35,35,1,1168,0
1073741947,4,0,0,29,0
1073742378,35,21,1,70,0
1073742378,35,25,1,95,0
1073742393,35,0,1,156,0
1073742393,35,1,1,203,0
1073742393,35,5,1,234,0
1073742393,35,21,1,263,0
1073742393,35,25,1,288,0
1073742394,35,0,1,355,0
1073742394,35,1,1,402,0
1073742394,35,5,1,433,0
1073742394,35,21,1,462,0
1073742394,35,25,1,487,0
1073742394,35,35,1,497,0
1073742395,35,0,1,545,0
1073742395,35,1,1,592,0
1073742395,35,25,1,623,0
1073742396,35,0,1,678,0
1073742396,35,1,1,725,0
1073742396,35,21,1,756,0
1073742396,35,25,1,781,0
1232,41,1,1,824,0
1232,41,2,1,854,0
1233,41,0,1,927,0
1233,41,1,1,972,0
1233,41,2,1,1002,0
1233,41,3,1,1030,0
1263,41,0,1,1103,0
1263,41,1,1,1148,0
1263,41,2,1,1178,0
1263,41,5,1,1206,0
1073744026,42,0,1,1280,0
1073744026,42,1,1,1325,0
1073744026,42,2,1,1355,0
1073744026,42,3,1,1383,0
1073744032,42,0,1,1456,0
1073744032,42,1,1,1501,0
1073744032,42,2,1,1531,0
1073744032,42,3,1,1559,0
1073744033,42,0,1,1632,0
1073744033,42,1,1,1677,0
1073744033,42,2,1,1707,0
1073744033,42,3,1,1735,0
1073742394,35,0,1,355,0
1073742394,35,1,1,402,0
1073742394,35,5,1,433,0
1073742394,35,21,1,462,0
1073742394,35,25,1,487,0
1073742394,35,35,1,497,0
1073741947,4,0,0,161,0
1073742378,35,0,1,208,0
1073742378,35,21,1,255,0
1073742378,35,25,1,280,0
1073742393,35,0,1,341,0
1073742393,35,1,1,388,0
1073742393,35,5,1,419,0
1073742393,35,21,1,448,0
1073742393,35,25,1,473,0
1073742394,35,0,1,540,0
1073742394,35,1,1,587,0
1073742394,35,5,1,618,0
