index,min_x,min_y,max_x,max_y,top_z,bottom_z,pos_x,pos_y,pos_z,mesh_index,flags,flags2,area_m2
0,-105.7558,-50.6503,3.9471,75.9139,-26.7579,-65.2578,-50.9043,12.6318,-46.0079,0,0,0,13884.4553
1,-93.3702,-13.6989,-6.6181,76.4128,-35.8144,-65.0257,-49.9942,31.3569,-50.4200,1,0,0,7817.3752
2,-68.2118,-50.8729,6.1992,23.8445,-26.3562,-51.7941,-31.0063,-13.5142,-39.0752,2,0,0,5559.8066
3,-105.5151,-32.9111,-45.6170,50.8516,-31.5123,-59.0130,-75.5660,8.9702,-45.2626,3,0,0,5017.2188
4,-107.0029,-53.9368,5.2705,76.1954,-25.7192,-65.3186,-50.8662,11.1293,-45.5189,4,0,0,14610.3927
5,-172.7259,-37.9563,-35.4334,86.3742,-13.3235,-71.2691,-104.0797,24.2090,-42.2963,0,0,0,17069.6577
6,-134.1577,-23.7226,-35.5127,74.5073,-17.7985,-67.8448,-84.8352,25.3924,-42.8216,1,0,0,9689.8871
7,-170.0535,-40.1173,-87.9746,44.7242,-24.4301,-70.5379,-129.0141,2.3035,-47.4840,2,0,0,6963.6982
8,-154.9264,10.6945,-65.1833,82.7633,-13.6363,-52.9887,-110.0549,46.7289,-33.3125,3,0,0,6467.6763
9,-176.1660,-39.7839,-35.0518,87.5719,-12.2349,-71.6493,-105.6089,23.8940,-41.9421,4,0,0,17971.7117
10,-183.7833,-69.6567,-48.7228,21.9715,22.2064,-103.7194,-116.2531,-23.8426,-40.7565,0,0,0,12375.3599
11,-146.1330,-64.8396,-48.3252,11.4319,7.8630,-92.5686,-97.2291,-26.7039,-42.3528,1,0,0,7459.9501
12,-182.9152,-64.3203,-100.8929,4.3305,23.8670,-63.7551,-141.9040,-29.9949,-19.9441,2,0,0,5630.8968
13,-165.5774,-39.0167,-75.6074,20.3600,-22.6861,-98.5687,-120.5924,-9.3284,-60.6274,3,0,0,5342.1264
14,-187.1249,-70.2610,-48.2773,23.6773,24.2131,-104.8324,-117.7011,-23.2918,-40.3096,4,0,0,13043.1085
15,-260.6900,-20.8246,-135.9160,56.6056,15.5050,-72.4294,-198.3030,17.8905,-28.4622,0,0,0,9661.2827
