=== RUN   TestBombePortageGate
2026/09/01 17:40:07 INFO plafond memoire arme pour ce decodage outil=TestBombePortageGate souple_gib=2 dur_octets=2684354560
2026/09/01 17:40:15 WARN empreinte du registre ECS du film INCONNUE — grammaire des composants suspecte (mise a jour du jeu ?) ; le film reste decode empreinte=1872162450444512260 empreinte_connue=7053924395561516366 blocs=118 slots_non_vides=1068
    bombe_portage_gate_test.go:78: 35b75a31 : 95 transitions, 58 periodes, 57 portages publies (57 fermes dont 20 par mort, 0 ouverts), 1 sansPont, 0 horsFenetre
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 514 xuid 2535406578258524 [72860, 88167] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 513 xuid 2535434638359191 [90509, 91439] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 523 xuid 2533274797735697 [94797, 96431]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 522 xuid 2533274824432629 [105192, 115868]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 520 xuid 2535460750735339 [125778, 128246]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 528 xuid 2533274858283686 [149168, 156458]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 534 xuid 2535420196688895 [174410, 175310]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 535 xuid 2535445743480343 [182601, 184533] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 536 xuid 2535460750735339 [187458, 198011] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 539 xuid 2535434638359191 [200687, 208995]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 549 xuid 2535460750735339 [214552, 244343] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 547 xuid 2533274858283686 [246316, 247383]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 546 xuid 2533274824432629 [249653, 252018] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 555 xuid 2535434638359191 [254675, 255743]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 555 xuid 2535434638359191 [256377, 262413] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 558 xuid 2535460750735339 [263720, 270623]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 557 xuid 2535420196688895 [277648, 278198]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 557 xuid 2535420196688895 [284789, 285155]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 563 xuid 2535460750735339 [290194, 308258] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 565 xuid 2535406578258524 [313901, 335317] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 568 xuid 2535434638359191 [337808, 342926] (mort)
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 571 xuid 2533274824432629 [345750, 359583]
    bombe_portage_gate_test.go:78:   35b75a31 : periode slot 575 xuid 2535441223342887 [364054, 365200] (mort)
