id	match_id	xuid	flag_captures	flag_capture_assists	flag_grabs	flag_secures	flag_steals	flag_returns	flag_carriers_killed	flag_returners_killed	kills_as_flag_carrier	kills_as_flag_returner	time_as_flag_carrier_seconds	zone_captures	zone_secures	zone_offensive_kills	zone_defensive_kills	zone_scoring_ticks	time_in_zones_seconds	kills_as_skull_carrier	skull_carriers_killed	skull_grabs	skull_scoring_ticks	time_as_skull_carrier_seconds	longest_time_as_skull_carrier_seconds	written_at	kills_as_power_seed_carrier	power_seed_carriers_killed	power_seeds_deposited	power_seeds_stolen	time_as_power_seed_carrier_seconds	time_as_power_seed_driver_seconds	extraction_conversions_completed	extraction_conversions_denied	extraction_initiations_completed	extraction_initiations_denied	successful_extractions	kills_as_vip	vip_kills	vip_assists	times_selected_as_vip	max_killing_spree_as_vip	time_as_vip_seconds	longest_time_as_vip_seconds
1839	c88ec007-62da-4eaf-8250-1fa80e8bd8e1	2533274969641599	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	3	0	113	116.8	31	2026-07-25 18:13:13.058958 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1835	c88ec007-62da-4eaf-8250-1fa80e8bd8e1	2535431078857502	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	4	1	57	58.9	22.5	2026-07-25 18:13:13.058958 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1836	c88ec007-62da-4eaf-8250-1fa80e8bd8e1	2535443294909616	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	0	2	2.6	2.6	2026-07-25 18:13:13.058958 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1840	c88ec007-62da-4eaf-8250-1fa80e8bd8e1	2535448682342105	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	0	38	40.8	9.7	2026-07-25 18:13:13.058958 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1834	c88ec007-62da-4eaf-8250-1fa80e8bd8e1	2535462296193152	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	2	2	58	60.8	30.6	2026-07-25 18:13:13.058958 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1841	c88ec007-62da-4eaf-8250-1fa80e8bd8e1	2535469190789936	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	0	44	45.8	21	2026-07-25 18:13:13.058958 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6340	cde26226-5707-40e9-96c7-b7baec62679e	2533274817658307	2	0	2	2	4	1	1	0	0	0	274	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-08-27 20:59:07.453465 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6337	cde26226-5707-40e9-96c7-b7baec62679e	2533274818074729	0	0	3	9	1	3	1	0	0	0	72.4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-08-27 20:59:07.453465 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6335	cde26226-5707-40e9-96c7-b7baec62679e	2533274823110022	0	0	0	1	1	4	1	0	0	0	2.8	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-08-27 20:59:07.453465 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6333	cde26226-5707-40e9-96c7-b7baec62679e	2533274849050722	1	0	2	4	2	0	2	2	0	0	12.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-08-27 20:59:07.453465 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6339	cde26226-5707-40e9-96c7-b7baec62679e	2533274858283686	1	0	7	7	2	1	1	0	0	2	33.7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-08-27 20:59:07.453465 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6334	cde26226-5707-40e9-96c7-b7baec62679e	2535415492484355	1	0	12	5	1	2	1	0	0	0	16.6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-08-27 20:59:07.453465 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6336	cde26226-5707-40e9-96c7-b7baec62679e	2535468122262494	0	1	35	8	5	1	3	1	0	0	42.3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-08-27 20:59:07.453465 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6338	cde26226-5707-40e9-96c7-b7baec62679e	2535469190789936	0	0	10	2	1	2	2	1	0	0	26.1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-08-27 20:59:07.453465 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1722	d9781168-5fd6-4b00-a862-56e3a0a1f956	2533274823110022	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	4	2	34	37.1	12.1	2026-07-25 18:13:04.874246 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1727	d9781168-5fd6-4b00-a862-56e3a0a1f956	2533274974091007	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	1	113	116.1	54.9	2026-07-25 18:13:04.874246 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1724	d9781168-5fd6-4b00-a862-56e3a0a1f956	2533274977810162	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	5	0	50	51.1	26.4	2026-07-25 18:13:04.874246 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1725	d9781168-5fd6-4b00-a862-56e3a0a1f956	2535432478853823	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	1	8	9.7	4.8	2026-07-25 18:13:04.874246 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1721	d9781168-5fd6-4b00-a862-56e3a0a1f956	2535435655459376	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	3	3	47	49.1	11.7	2026-07-25 18:13:04.874246 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1726	d9781168-5fd6-4b00-a862-56e3a0a1f956	2535446563676950	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	6	1	23	25.5	9	2026-07-25 18:13:04.874246 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1723	d9781168-5fd6-4b00-a862-56e3a0a1f956	2535455182553276	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	2	2	102	105	30	2026-07-25 18:13:04.874246 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1728	d9781168-5fd6-4b00-a862-56e3a0a1f956	2535463284150067	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	3	0	10	10.1	8.1	2026-07-25 18:13:04.874246 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6361	e60aaf06-1a3c-46b8-a1fd-26cf5d0406cf	2533274822170595	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5	1	5	5	0	105.2	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-07 19:34:29.751434 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6360	e60aaf06-1a3c-46b8-a1fd-26cf5d0406cf	2533274823110022	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5	3	1	4	0	68.5	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-07 19:34:29.751434 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6362	e60aaf06-1a3c-46b8-a1fd-26cf5d0406cf	2533274833178266	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	0	0	0	0	51	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-07 19:34:29.751434 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6365	e60aaf06-1a3c-46b8-a1fd-26cf5d0406cf	2533274858283686	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5	0	6	5	0	96.1	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-07 19:34:29.751434 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6363	e60aaf06-1a3c-46b8-a1fd-26cf5d0406cf	2533274885014051	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	4	2	4	0	93.7	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-07 19:34:29.751434 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6366	e60aaf06-1a3c-46b8-a1fd-26cf5d0406cf	2533274959313934	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	1	1	1	0	50.3	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-07 19:34:29.751434 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6359	e60aaf06-1a3c-46b8-a1fd-26cf5d0406cf	2535464745227259	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5	2	1	3	0	65	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-07 19:34:29.751434 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6364	e60aaf06-1a3c-46b8-a1fd-26cf5d0406cf	2535469190789936	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7	0	2	0	0	70.1	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-07 19:34:29.751434 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6420	f8efc5ca-b3b8-4d3c-a43a-388a20ec2e6e	2533274804730586	0	2	0	0	3	2	0	1	0	0	29.8	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-07 20:22:59.248136 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6417	f8efc5ca-b3b8-4d3c-a43a-388a20ec2e6e	2533274811578968	1	1	3	3	1	0	0	1	0	0	62.2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-07 20:22:59.248136 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6418	f8efc5ca-b3b8-4d3c-a43a-388a20ec2e6e	2533274823110022	0	0	2	7	3	1	0	0	1	0	25.1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-07 20:22:59.248136 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6416	f8efc5ca-b3b8-4d3c-a43a-388a20ec2e6e	2533274833178266	0	0	0	0	0	1	2	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-07 20:22:59.248136 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6415	f8efc5ca-b3b8-4d3c-a43a-388a20ec2e6e	2533274858283686	0	0	4	2	3	1	5	0	0	0	21.7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-07 20:22:59.248136 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6413	f8efc5ca-b3b8-4d3c-a43a-388a20ec2e6e	2535458336606528	0	1	7	2	1	2	1	1	0	1	23.3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-07 20:22:59.248136 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6419	f8efc5ca-b3b8-4d3c-a43a-388a20ec2e6e	2535467632752562	2	0	5	5	1	1	0	1	0	0	28.9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-07 20:22:59.248136 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6414	f8efc5ca-b3b8-4d3c-a43a-388a20ec2e6e	2535469190789936	0	0	1	2	1	0	0	0	0	0	5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-07 20:22:59.248136 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
99	fb1a1a72-4937-4795-9d78-8e18ab47584f	2533274795950878	0	1	1	1	2	1	0	3	0	0	12.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 02:32:25.324829 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
96	fb1a1a72-4937-4795-9d78-8e18ab47584f	2533274823110022	0	0	0	0	0	2	1	0	0	1	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 02:32:25.324829 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
95	fb1a1a72-4937-4795-9d78-8e18ab47584f	2535408981717353	0	0	0	0	3	3	0	0	0	0	18.8	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 02:32:25.324829 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
97	fb1a1a72-4937-4795-9d78-8e18ab47584f	2535417580715145	0	0	6	2	2	2	0	0	0	0	32.7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 02:32:25.324829 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
100	fb1a1a72-4937-4795-9d78-8e18ab47584f	2535425179403277	0	0	4	3	1	2	0	1	0	2	23.3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 02:32:25.324829 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
101	fb1a1a72-4937-4795-9d78-8e18ab47584f	2535450323793545	0	0	0	0	1	0	2	0	0	0	18.1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 02:32:25.324829 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
94	fb1a1a72-4937-4795-9d78-8e18ab47584f	2535469190789936	1	0	9	7	3	2	1	0	0	0	140	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 02:32:25.324829 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
98	fb1a1a72-4937-4795-9d78-8e18ab47584f	2535473461033821	0	0	1	4	2	0	2	1	0	0	15	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-07-25 02:32:25.324829 +0000 UTC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
