meta	7344d24f	Strongholds:Arena	zone	Vagabond	193	112	596	8	1199	703	496	4260	594574	36364	1272
team	6	200	194	194	53690	594574	oui
team	8	126	112	112	112190	558142	oui
a01	ecart	200/126	193/112	2
player	10	2533274819954312	2533274819954312	17	17	13	13	2	2	oui	oui	1
player	12	2535469190789936	2535469190789936	8	8	16	16	9	9	oui	oui	1
player	14	2535433849912379	2535433849912379	9	9	13	13	9	9	oui	oui	1
player	16	2533274901940205	2533274901940205	27	27	13	13	7	7	oui	oui	1
player	18	2535449981534849	2535449981534849	9	9	14	14	8	8	oui	oui	1
player	20	2533274823110022	2533274823110022	16	16	14	14	7	7	oui	oui	1
player	22	2535460550991892	2535460550991892	14	14	18	18	5	5	oui	oui	1
player	24	2535473295198622	2535473295198622	17	17	16	16	11	11	oui	oui	1
a03	8	8	8	8	8	8	8
a02	b	0	1	comp2A equipes 58/59 vs sommes joueurs 58/59
a01b	ecart	200/126	193/112	1	1
volume	306	249	121	121	58	6255	11696	17951
cost	1272	1301	22	3	73	1199
